id,nombre,categoria
3,despensero,despenseros
2,despensero,despenseros
193,reposera niño,sillas
34,reposera aluminio 7 posiciones,reposeras
35,reposera aluminio 5,reposeras
36,reposera de niños,reposeras
56,cajonera 6 cajones,cajoneras
197,tobogan 4 escalones,plaza
29,mesa,mesas
22,cajonera 7 cajones,cajoneras
1,silla kila,sillas
21,cajonera 7 cajones,cajoneras
27,silla hindu,sillas
7,placard pino puerta de abrir,placard
24,cajonera asia,cajoneras
41,cama,camas
10,cajonera pata retro,cajoneras
12,modular pino,modulares
38,cama,camas
23,cajonera asia,cajoneras
6,mesa y silla plegable,combo
16,rack tv pino vintage,rack tv
54,termotanque 55l,termotanques
14,alacena,mueble
87,tobogan 5 escalones,toboganes
40,cucheta,camas
26,placard pino puerta de abrir,placard
495,cama,camas
57,placard dakar 2 puertas corredizas,placard
13,bajo mesada,bajo mesadas
55,termotanque 45l,termotanques
46,mesa plegable,mesas
43,mesa plegable,mesas
47,combo quincho,combo
28,"mesa 1,50",mesas
18,quesera,Queseras
31,horno microondas analogico,microondas
32,horno microondas digital,microondas
388,toallero,mueble
45,banco plegable,bancos
5,silla plegable,sillas
49,quesera,queseras
4,mesa plegable,mesas
30,mesa,mesas
17,silla eco,sillas
50,toallero,toalleros
48,quesera,queseras
58,placard dakar 4 puertas de abrir,placard
59,placard dakar plus 6 puertas de abrir,placard
51,"ventilador 3 en 1 20""",ventiladores
25,comoda,comodas
39,cama,camas
19,desayunador con cajon,desayunador
37,cucheta,camas
15,combo bajo y alacena,combo
11,cristalero,cristaleros
92,porta micro alto,porta micro
95,box,box
8,placard corredizo pino espejo,placard
60,"despensero 1,80",despenseros
61,modular,modulares
62,mesa de luz pack,mesa de luz
72,colchon silver,colchones
73,colchon extra 18alto,colchones
63,mesada,mesadas
65,colchon standard 13alto,colchones
68,colchon eco 17alto,colchones
69,colchon palace sin pillow,colchones
194,reposera 5 posiciones madera,sillas
20,porta micro bajo,porta micro
44,combo quincho,combo
198,tobogan 6 escalones,plaza
74,colchon de cuna funcional 140x80,colchones
441,placard dakar 4 puertas,muebles
80,colchon real,colchones
81,colchon extra,colchones
82,colchon super lujo,colchones
71,colchon super lujo,colchones
9,mesa de luz vintaje,mesa de luz
83,colchon silver,colchones
84,colchon palace doble pillow,colchones
75,colchon eco,colchones
77,colchon extra,colchones
76,colchon standard 17 alto,colchones
86,tobogan 4 escalones,toboganes
88,candybar,candybar
89,escritorio pc,escritorios
90,escritorio 4 cajones,escritorios
98,colchon estandar 13alto,colchones
93,mesa de luz vintage con cajon y puerta,mesa de luz
52,"ventilador de pie 20""",ventiladores
94,box,box
176,mesa,mesas
101,colchones super lujo,colchones
96,box,box
78,box,box
91,taburete,bancos
64,colchon flow,colchones
104,colchon equis,colchones
111,colchon extra 17alto,colchones
99,colchon extra 18alto,colchones
106,colchon extra 18alto,colchones
103,colchon gold jackard con pillow,colchones
79,colchon gold jackard sin pillow,colchones
100,colchon palace con pillow,colchones
70,colchon palace con pillow,colchones
